model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,8,chinese:SSB0005,0,0,rp,1,0,0,9,0.9000,0.600000,4.5098,0.9941,31.57
timbrewm,8,chinese:SSB0005,1,1,rp,1,1,1,8,0.8000,0.500000,4.3751,0.9910,30.69
timbrewm,8,chinese:SSB0005,2,2,rp,1,1,0,9,0.9000,0.400000,4.4438,0.9973,33.15
timbrewm,8,chinese:SSB0009,0,3,rp,1,0,0,9,0.9000,0.700000,4.2429,0.9952,24.96
timbrewm,8,chinese:SSB0009,1,4,rp,1,1,1,7,0.7000,0.300000,4.4613,0.9983,31.39
timbrewm,8,chinese:SSB0009,2,5,rp,1,1,1,7,0.7000,0.300000,4.4554,0.9959,28.00
timbrewm,8,chinese:SSB0011,0,6,rp,1,1,0,9,0.9000,0.500000,4.4978,0.9944,29.88
timbrewm,8,chinese:SSB0011,1,7,rp,0,0,0,10,1.0000,0.600000,4.4823,0.9933,29.47
timbrewm,8,chinese:SSB0011,2,8,rp,0,0,0,10,1.0000,0.500000,4.1812,0.9848,25.45
timbrewm,8,chinese:SSB0012,0,9,rp,1,1,1,7,0.7000,0.400000,4.3222,0.9918,28.83
timbrewm,8,chinese:SSB0012,1,10,rp,1,1,1,8,0.8000,0.500000,4.2366,0.9919,28.48
timbrewm,8,chinese:SSB0012,2,11,rp,1,0,0,9,0.9000,0.600000,4.2680,0.9922,28.61
timbrewm,8,chinese:SSB0016,0,12,rp,1,1,0,9,0.9000,0.700000,4.5895,0.9977,31.03
timbrewm,8,chinese:SSB0016,1,13,rp,1,1,1,8,0.8000,0.500000,4.4271,0.9924,25.75
timbrewm,8,chinese:SSB0016,2,14,rp,1,1,0,9,0.9000,0.500000,4.4068,0.9938,25.85
timbrewm,8,chinese:SSB0018,0,15,rp,1,1,1,8,0.8000,0.400000,4.3735,0.9938,30.20
timbrewm,8,chinese:SSB0018,1,16,rp,1,1,1,9,0.9000,0.600000,4.3101,0.9942,29.78
timbrewm,8,chinese:SSB0018,2,17,rp,1,1,1,8,0.8000,0.600000,4.3948,0.9945,30.19
timbrewm,8,chinese:SSB0033,0,18,rp,1,1,0,9,0.9000,0.500000,4.4690,0.9959,33.54
timbrewm,8,chinese:SSB0033,1,19,rp,1,1,1,8,0.8000,0.500000,4.2543,0.9931,31.75
timbrewm,8,chinese:SSB0033,2,20,rp,1,1,1,8,0.8000,0.300000,4.4703,0.9930,33.12
timbrewm,8,chinese:SSB0038,0,21,rp,1,1,0,9,0.9000,0.500000,4.5971,0.9981,33.81
timbrewm,8,chinese:SSB0038,1,22,rp,1,1,1,8,0.8000,0.500000,4.4546,0.9943,28.67
timbrewm,8,chinese:SSB0038,2,23,rp,1,1,1,8,0.8000,0.400000,4.5693,0.9971,32.76
timbrewm,8,chinese:SSB0043,0,24,rp,1,1,1,8,0.8000,0.600000,3.9962,0.9850,24.32
timbrewm,8,chinese:SSB0043,1,25,rp,1,1,1,8,0.8000,0.500000,4.1848,0.9875,26.32
timbrewm,8,chinese:SSB0043,2,26,rp,1,1,1,9,0.9000,0.500000,4.0035,0.9860,26.31
timbrewm,8,chinese:SSB0057,0,27,rp,1,1,1,8,0.8000,0.400000,4.4096,0.9972,34.51
timbrewm,8,chinese:SSB0057,1,28,rp,1,1,1,7,0.7000,0.200000,4.6116,0.9980,35.80
timbrewm,8,chinese:SSB0057,2,29,rp,1,1,1,9,0.9000,0.600000,4.5060,0.9948,31.94
timbrewm,8,chinese:SSB0073,0,30,rp,0,0,0,10,1.0000,0.800000,4.4708,0.9973,30.03
timbrewm,8,chinese:SSB0073,1,31,rp,1,1,0,9,0.9000,0.700000,4.5864,0.9994,36.61
timbrewm,8,chinese:SSB0073,2,32,rp,1,1,1,8,0.8000,0.500000,4.5453,0.9987,34.48
timbrewm,8,chinese:SSB0080,0,33,rp,1,1,0,9,0.9000,0.700000,4.2486,0.9841,27.21
timbrewm,8,chinese:SSB0080,1,34,rp,1,0,0,9,0.9000,0.500000,4.2483,0.9866,25.89
timbrewm,8,chinese:SSB0080,2,35,rp,1,0,0,9,0.9000,0.500000,4.4452,0.9893,27.85
timbrewm,8,chinese:SSB0112,0,36,rp,1,0,0,9,0.9000,0.500000,4.5049,0.9967,29.21
timbrewm,8,chinese:SSB0112,1,37,rp,1,1,0,9,0.9000,0.500000,4.3644,0.9893,23.26
timbrewm,8,chinese:SSB0112,2,38,rp,0,0,0,10,1.0000,0.900000,4.6270,0.9992,35.96
timbrewm,8,chinese:SSB0122,0,39,rp,1,1,1,9,0.9000,0.400000,4.4029,0.9947,29.65
timbrewm,8,chinese:SSB0122,1,40,rp,1,1,1,8,0.8000,0.400000,4.4779,0.9953,29.35
timbrewm,8,chinese:SSB0122,2,41,rp,1,1,1,8,0.8000,0.400000,4.4947,0.9968,30.09
timbrewm,8,chinese:SSB0133,0,42,rp,1,1,1,8,0.8000,0.300000,4.5187,0.9958,28.72
timbrewm,8,chinese:SSB0133,1,43,rp,0,0,0,10,1.0000,0.700000,4.5800,0.9977,30.78
timbrewm,8,chinese:SSB0133,2,44,rp,1,1,0,9,0.9000,0.500000,4.5470,0.9954,30.19
timbrewm,8,chinese:SSB0139,0,45,rp,1,1,1,8,0.8000,0.500000,4.6033,0.9991,36.77
timbrewm,8,chinese:SSB0139,1,46,rp,1,0,0,9,0.9000,0.400000,4.6055,0.9990,35.54
timbrewm,8,chinese:SSB0139,2,47,rp,1,1,1,9,0.9000,0.500000,4.3353,0.9967,31.05
timbrewm,8,chinese:SSB0145,0,48,rp,1,0,0,9,0.9000,0.600000,4.5582,0.9976,30.06
timbrewm,8,chinese:SSB0145,1,49,rp,1,1,1,9,0.9000,0.600000,4.4038,0.9944,26.08
timbrewm,8,chinese:SSB0145,2,50,rp,0,0,0,10,1.0000,0.600000,4.3695,0.9941,26.23
timbrewm,8,chinese:SSB0149,0,51,rp,1,1,1,7,0.7000,0.400000,4.5442,0.9984,33.10
timbrewm,8,chinese:SSB0149,1,52,rp,1,0,0,9,0.9000,0.600000,4.4176,0.9949,30.25
timbrewm,8,chinese:SSB0149,2,53,rp,1,1,1,8,0.8000,0.500000,4.4653,0.9972,31.09
timbrewm,8,chinese:SSB0193,0,54,rp,1,1,1,8,0.8000,0.500000,4.5445,0.9973,30.31
timbrewm,8,chinese:SSB0193,1,55,rp,1,1,1,7,0.7000,0.400000,4.4342,0.9954,28.48
timbrewm,8,chinese:SSB0193,2,56,rp,1,1,1,8,0.8000,0.200000,4.3694,0.9964,28.39
timbrewm,8,chinese:SSB0197,0,57,rp,1,1,1,7,0.7000,0.200000,4.3460,0.9896,23.81
timbrewm,8,chinese:SSB0197,1,58,rp,1,1,1,8,0.8000,0.500000,4.2542,0.9860,22.28
timbrewm,8,chinese:SSB0197,2,59,rp,0,0,0,10,1.0000,0.400000,4.3598,0.9887,23.04
